line_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total
LI-69396219,ORD-2324828,PROD-939467,2,1388.96,224.67,2272.96
LI-67141298,ORD-6608478,PROD-296165,10,3969.63,140.28,33543.38
LI-45536509,ORD-9511933,PROD-404618,9,1863.59,464.9,5913.98
LI-16683088,ORD-5559786,PROD-667963,8,4547.97,165.07,7709.33
LI-58580409,ORD-7502331,PROD-487868,8,2019.9,406.65,24403.69
LI-35765678,ORD-8594614,PROD-446158,8,76.77,399.03,36900.57
LI-65327788,ORD-3904771,PROD-530339,6,462.26,264.55,7488.3
LI-49130663,ORD-4975907,PROD-907324,8,710.38,375.39,14661.08
LI-43700719,ORD-5832743,PROD-784341,10,1382.39,403.55,18399.22
LI-43638319,ORD-5099662,PROD-392840,2,1405.17,441.86,34581.68
LI-95769870,ORD-2631423,PROD-213066,8,1229.34,48.0,35741.69
LI-58356163,ORD-9952364,PROD-212507,1,2474.38,166.2,24127.08
LI-59083023,ORD-5319236,PROD-318889,6,391.76,206.6,2636.82
LI-27442627,ORD-4178603,PROD-307338,8,4530.13,145.05,12918.23
LI-36827683,ORD-7312379,PROD-425540,1,699.08,284.73,31295.78
LI-80823664,ORD-7034763,PROD-114337,9,423.62,165.56,36232.21
LI-35488338,ORD-8323034,PROD-557626,9,2714.09,0.06,30050.55
LI-63416155,ORD-8468708,PROD-306209,2,2868.42,498.22,3841.24
LI-99741961,ORD-9277225,PROD-326994,1,4750.09,336.37,4732.19
LI-48622944,ORD-6844159,PROD-181240,10,3211.19,58.16,16631.29
LI-10521700,ORD-2136758,PROD-534236,9,3398.91,279.48,36869.09
LI-33856661,ORD-3579174,PROD-633587,9,1639.56,481.9,4137.79
LI-69220558,ORD-3833796,PROD-247693,10,3332.58,476.29,32588.05
LI-19338143,ORD-2068006,PROD-755916,8,2474.28,265.61,20186.77
LI-10555277,ORD-3030331,PROD-557712,4,1097.31,38.15,17522.83
LI-21285505,ORD-1492229,PROD-900547,1,3965.42,385.27,41173.5
LI-26805292,ORD-6892493,PROD-600816,7,160.54,456.28,4855.49
LI-70144851,ORD-1662141,PROD-870929,2,1490.91,479.57,13061.5
LI-16606397,ORD-8801215,PROD-469328,10,1221.27,491.36,47197.08
LI-23591242,ORD-5651872,PROD-248173,3,1738.41,379.88,40872.24
LI-48204465,ORD-5633957,PROD-769885,9,2668.85,379.53,34303.08
LI-79262124,ORD-7550238,PROD-333795,1,3837.14,16.26,14226.9
LI-38203167,ORD-3410401,PROD-254906,4,3325.92,429.72,21593.33
LI-83946116,ORD-7334381,PROD-927512,2,3378.62,257.04,44684.69
LI-48655434,ORD-4427466,PROD-308788,2,434.19,431.71,46679.57
LI-78915610,ORD-2094394,PROD-496218,2,1499.66,372.01,7710.38
LI-38748798,ORD-9788057,PROD-754515,4,4945.57,393.36,16359.07
LI-31392248,ORD-6063396,PROD-365754,8,3792.33,443.61,22505.55
LI-30209163,ORD-1047765,PROD-855077,3,1351.48,214.0,1863.63
LI-41872435,ORD-8317806,PROD-744276,6,1080.48,435.12,39740.41
LI-22240609,ORD-2760911,PROD-271315,5,2230.35,316.69,17069.64
LI-81535701,ORD-9728257,PROD-345755,3,2374.28,106.57,46739.48
LI-68628799,ORD-4400839,PROD-738830,2,3937.34,401.55,25411.46
LI-42605854,ORD-9113262,PROD-831264,5,2766.37,85.41,14834.25
LI-88731059,ORD-4864264,PROD-678658,3,4319.33,172.34,48249.03
LI-51793124,ORD-6478018,PROD-681829,6,142.41,195.73,41725.03
LI-90438956,ORD-9300869,PROD-177309,8,2462.52,0.58,25877.12
LI-66979089,ORD-8588638,PROD-813219,4,3241.71,389.44,18078.93
LI-68799148,ORD-3286406,PROD-390784,7,1262.64,367.94,6473.73
LI-75999736,ORD-6770433,PROD-888517,3,477.25,283.77,4632.32
LI-34711718,ORD-8246452,PROD-768267,7,1837.74,391.99,1472.68
LI-94001056,ORD-3988746,PROD-150463,3,1342.99,360.97,42977.92
LI-83810824,ORD-2112534,PROD-849342,1,216.88,80.53,22578.27
LI-84231669,ORD-2456666,PROD-874255,4,4462.85,221.33,47802.87
LI-51150337,ORD-3438057,PROD-694708,5,2514.88,314.38,37126.88
LI-90604985,ORD-9287046,PROD-371127,8,3731.86,63.72,12431.56
LI-66632623,ORD-7153427,PROD-173871,2,1893.23,238.19,33590.96
LI-18197508,ORD-4021046,PROD-610856,3,1901.31,180.48,32845.0
LI-20502031,ORD-6820620,PROD-425230,3,3341.7,450.61,43018.94
LI-77379415,ORD-1957726,PROD-891710,1,4292.59,342.17,32055.75
LI-76846292,ORD-6766152,PROD-571633,1,1340.92,268.36,25131.54
LI-75377000,ORD-7576353,PROD-129791,8,4503.65,439.74,43595.44
LI-84425880,ORD-4753453,PROD-191731,3,3455.21,468.14,21508.77
LI-72794490,ORD-8806702,PROD-624234,9,85.38,10.04,35981.94
LI-42297848,ORD-6277743,PROD-878056,8,4494.58,358.73,32958.39
LI-55072293,ORD-7938596,PROD-806311,5,4548.4,137.29,19408.39
LI-99891615,ORD-9842883,PROD-368345,3,3622.57,292.72,38121.01
LI-97169398,ORD-9918510,PROD-657492,7,751.01,218.99,38591.96
LI-63961435,ORD-1447807,PROD-763419,10,2914.45,452.28,34018.74
LI-20822399,ORD-9777921,PROD-446672,1,904.84,41.52,18117.82
LI-13511217,ORD-5583454,PROD-469994,2,2899.62,260.56,4845.61
LI-13242231,ORD-4992175,PROD-625684,3,1868.92,31.0,47728.4
LI-49901436,ORD-7796829,PROD-869895,5,215.61,194.48,24771.17
LI-61140380,ORD-9146169,PROD-563106,8,3125.57,215.05,37923.25
LI-40382991,ORD-5168129,PROD-941237,5,290.3,360.81,5835.4
LI-62731220,ORD-4706196,PROD-872780,2,882.52,302.52,27441.67
LI-88370921,ORD-6703062,PROD-522556,3,2446.27,210.63,47345.95
LI-87163411,ORD-2197281,PROD-183112,5,2557.34,123.92,21046.74
LI-11586428,ORD-8609604,PROD-950131,4,1586.5,364.2,9046.57
LI-85104967,ORD-9483604,PROD-306535,1,1555.86,287.05,21062.19
LI-34281625,ORD-7355913,PROD-512961,3,4171.3,44.02,23997.65
LI-66794284,ORD-8062095,PROD-236518,1,2314.7,415.1,19121.19
LI-34283593,ORD-6957071,PROD-965812,4,4873.15,330.58,48738.3
LI-89865467,ORD-2168356,PROD-734044,7,4212.59,25.35,19558.23
LI-48981357,ORD-7521543,PROD-687888,8,1636.99,99.56,5808.65
LI-60200826,ORD-7441439,PROD-874278,2,3178.35,472.25,11901.18
LI-89542907,ORD-7022273,PROD-490830,6,3297.74,236.39,39880.95
LI-93868192,ORD-9786326,PROD-987213,5,3229.42,307.8,14721.56
LI-27374696,ORD-6169309,PROD-234241,5,950.09,4.8,33626.25
LI-81669099,ORD-2145974,PROD-431222,10,3275.54,29.42,37286.07
LI-61663489,ORD-3793183,PROD-847632,10,1779.2,51.88,3718.53
LI-56319872,ORD-4170092,PROD-960731,6,2346.57,430.96,37089.47
LI-21197872,ORD-3997139,PROD-608631,10,451.15,458.07,30668.17
LI-87136366,ORD-3351998,PROD-365440,5,3543.0,134.36,26415.95
LI-12045438,ORD-6984613,PROD-518263,8,3928.57,305.1,37872.41
