line_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total
LI-21816271,ORD-3847101,PROD-956480,6,1024.97,155.34,7035.89
LI-17974237,ORD-9037418,PROD-909706,2,3504.13,292.39,49619.91
LI-22889142,ORD-3932553,PROD-566476,7,3861.18,151.61,42876.44
LI-36358917,ORD-4295636,PROD-201058,5,734.14,26.17,41358.63
LI-65589478,ORD-5595482,PROD-632228,4,2669.58,251.12,31349.0
LI-80185855,ORD-9542347,PROD-223536,1,4818.34,388.62,30296.11
LI-98375357,ORD-9049703,PROD-886029,7,2705.77,122.54,24236.93
LI-90274699,ORD-7016280,PROD-413210,7,2314.79,483.85,17861.35
LI-65678635,ORD-5334741,PROD-395413,8,1614.19,148.88,34393.63
LI-22351290,ORD-2392650,PROD-924248,6,852.16,138.0,31193.32
LI-80169225,ORD-5611342,PROD-250773,1,4736.3,272.39,1463.19
LI-60942598,ORD-2350010,PROD-715848,4,1498.6,355.26,39423.15
LI-87712051,ORD-3266729,PROD-495821,4,4862.25,113.4,4763.47
LI-50011989,ORD-9740388,PROD-231505,5,110.5,89.25,36489.39
LI-89798160,ORD-8769240,PROD-666058,8,4115.15,371.9,21563.41
LI-39294025,ORD-5078883,PROD-873173,6,2436.87,292.04,32969.4
LI-99071456,ORD-1888642,PROD-756900,3,4646.89,75.27,14820.59
LI-96076896,ORD-2664928,PROD-947314,6,118.38,463.25,27592.68
LI-37456088,ORD-8326572,PROD-641511,8,1339.56,90.81,35907.19
LI-26153312,ORD-1927134,PROD-915390,1,4133.85,409.47,7100.87
LI-82426997,ORD-4719485,PROD-480146,3,3480.03,222.96,6056.35
LI-58475119,ORD-1285281,PROD-796856,6,4725.3,253.12,699.66
LI-67440715,ORD-3305702,PROD-131981,7,2368.5,356.2,18528.73
LI-17856378,ORD-6380652,PROD-906587,1,4750.63,109.3,28483.05
LI-21018281,ORD-9379962,PROD-942037,2,3726.99,430.9,11383.09
LI-55234142,ORD-8127441,PROD-368682,9,2689.46,39.77,41185.1
LI-66209124,ORD-1844231,PROD-802169,10,561.35,128.83,16678.65
LI-63885572,ORD-9263115,PROD-357204,10,2388.86,86.9,41148.91
LI-19504122,ORD-8935245,PROD-555745,3,1675.48,179.6,24361.01
LI-44510078,ORD-7265019,PROD-853434,1,3556.52,214.26,2371.05
LI-54108775,ORD-9380192,PROD-892019,2,1692.13,465.14,14569.62
LI-60953668,ORD-8217875,PROD-461762,3,4414.54,238.53,30076.69
LI-95646598,ORD-5345621,PROD-360733,10,3176.59,40.68,41983.95
LI-22542006,ORD-9197997,PROD-576529,7,83.04,128.99,19377.52
LI-85973889,ORD-4857109,PROD-379025,3,621.33,204.99,16.02
LI-30154670,ORD-5559336,PROD-207438,6,2401.57,298.34,25099.99
LI-20834898,ORD-4075170,PROD-501963,8,1836.82,54.82,8918.0
LI-60633216,ORD-8675106,PROD-169149,4,2065.54,112.48,10916.46
LI-60390187,ORD-9030854,PROD-528079,3,4783.5,140.86,39188.73
LI-33603217,ORD-6705466,PROD-536895,1,1990.42,440.45,23156.12
LI-52451849,ORD-4735331,PROD-296689,6,1334.0,8.61,7386.57
LI-42479291,ORD-5267954,PROD-764156,2,4277.83,128.64,15204.72
LI-21418415,ORD-5524322,PROD-191608,1,1998.92,379.15,46824.74
LI-11843072,ORD-5535723,PROD-651677,2,3344.64,7.21,27904.72
LI-74683156,ORD-5733644,PROD-427598,4,4331.11,408.39,31332.59
LI-42181611,ORD-7548333,PROD-964437,2,4504.5,146.38,47529.55
LI-30775632,ORD-1353605,PROD-871479,4,609.75,216.85,8730.78
LI-45023616,ORD-9477804,PROD-818264,5,3657.06,449.39,17098.85
LI-37247391,ORD-5266275,PROD-750080,9,4503.83,428.7,25833.57
LI-54995906,ORD-7954882,PROD-203612,2,4877.24,302.36,8553.86
LI-61862805,ORD-7228261,PROD-677686,5,2702.34,268.49,4920.5
LI-26146416,ORD-9329298,PROD-822212,5,2265.85,380.58,2602.17
LI-15197109,ORD-1497079,PROD-233901,6,3953.61,139.25,44080.68
LI-95491879,ORD-2988659,PROD-335287,7,484.1,369.93,4162.01
LI-69881578,ORD-6889963,PROD-946769,8,2774.53,390.21,13434.38
LI-77239131,ORD-1613531,PROD-438668,9,2010.36,383.67,6230.47
LI-32868155,ORD-9305851,PROD-458316,5,693.17,308.77,27567.91
LI-22724266,ORD-5858072,PROD-610885,3,911.85,181.24,13436.67
LI-65196765,ORD-3031831,PROD-376076,9,765.02,187.06,27289.1
LI-78047160,ORD-6262283,PROD-740404,8,169.68,261.95,37109.65
LI-36056220,ORD-7982008,PROD-465074,8,92.37,177.2,9617.8
LI-16083905,ORD-2304289,PROD-111455,9,4149.39,330.89,18827.1
LI-86438830,ORD-5712166,PROD-994566,1,1140.27,325.47,14307.01
LI-85299903,ORD-2925988,PROD-292887,5,4397.53,475.77,16571.08
LI-25360408,ORD-3566948,PROD-121536,3,4757.46,259.43,3895.62
LI-54373144,ORD-5550209,PROD-335638,4,4826.64,142.29,16424.5
