order_id,customer_id,shipping_address_id,billing_address_id,order_date,order_time,status,subtotal,tax_amount,shipping_cost,total_amount,payment_method,notes
ORD-4514983,379534,fff3db52-789e-44e3-bcf0-b3e0346abcb0,2dbec909-050f-4ede-a2d2-defe097f9dac,2024-08-06,12:15:00,DELIVERED,2646.18,504.62,40.43,8758.66,PAYPAL,Fragile items
ORD-9605885,171658,73025b74-bbea-44db-88e6-8ed2919cc1aa,b50d122f-2a9a-464d-9162-ad54db3ed2a1,2024-04-05,16:20:00,CONFIRMED,580.75,307.15,32.14,2660.92,APPLE_PAY,Business delivery
ORD-3153059,497519,78b4a81a-94ed-443c-a439-0e2dfac4a21d,d1764266-92ce-443b-8185-8f6b4d1c6103,2023-04-20,16:20:00,DELIVERED,6493.59,139.22,26.53,9172.1,PAYPAL,Gift wrapping required
ORD-8993031,307682,687504b5-600f-4400-abd3-d71927c3c790,9bfaead5-82bb-407a-aea2-71784782c858,2024-11-27,10:30:00,SHIPPED,9724.42,735.21,25.51,1755.08,CREDIT_CARD,Fragile items
ORD-6317967,555125,14a0bb2f-93a1-499c-9d80-46b6d8a8d54e,adc4757c-1038-4225-aad5-564edf7fb0a6,2024-10-21,09:00:00,SHIPPED,605.84,24.97,21.05,5107.58,CREDIT_CARD,Special handling required
ORD-9127091,736868,1b20dabc-027b-4cac-9eaa-1839d9018302,3dfdc13f-1397-4860-b5ad-7279dc5239be,2024-01-26,14:45:00,CONFIRMED,9557.2,795.08,8.54,8939.77,CREDIT_CARD,Leave at front door
ORD-3055276,796005,b8077b5b-240f-439f-b56a-b52c64760b98,3902798e-1959-4602-8c23-c61bcab7b79f,2023-09-02,18:30:00,SHIPPED,3255.5,704.8,27.05,7389.16,CREDIT_CARD,Weekend delivery preferred
ORD-1024489,503390,e7f6c6b0-d566-4a01-8bda-16a61a5bc868,c82be827-4707-4e9a-925b-ff58a2df0c7b,2023-05-12,22:00:00,DELIVERED,7371.01,721.25,31.01,1443.73,CREDIT_CARD,Rush delivery requested
ORD-3048816,781838,e794a49b-8043-4603-98e7-28788f5d8240,a5229b48-f433-4855-aecc-1303bbb9a1bb,2023-01-29,12:15:00,PENDING,1094.59,43.61,39.92,8581.62,DEBIT_CARD,Weekend delivery preferred
ORD-4032321,761318,8d12b781-176b-4340-b158-60cf78324c8d,57638d3f-6f8a-426d-a6b5-aaefa3b384d4,2024-03-26,20:10:00,SHIPPED,8720.48,733.14,2.08,8985.17,DEBIT_CARD,Special handling required
ORD-7618708,992184,d3494583-4f00-49dc-93fd-be8be48490b0,75028a56-f886-47bc-9254-b21c40e93a5e,2024-01-30,14:45:00,SHIPPED,883.68,144.0,42.78,341.92,CREDIT_CARD,Gift wrapping required
ORD-8198813,972641,b185c513-2010-4c19-898f-71bc07171e28,063c4f37-4a84-43d8-9519-e4e5cf91c314,2023-04-03,14:45:00,PROCESSING,1215.06,604.24,47.58,1409.84,CREDIT_CARD,Leave at front door
ORD-3477374,846428,e6e8f87e-f4f6-4fe4-a401-29173cbabd9f,919d8706-e609-49c5-afc8-8ea79e4f9b54,2023-06-14,18:30:00,CONFIRMED,9201.91,656.96,20.13,6765.51,CREDIT_CARD,Gift wrapping required
ORD-9733047,504613,a018cabc-1e5f-4813-a4b5-bbfa38fc9843,c73166af-fc73-4613-a1a8-e4928fd65551,2024-03-13,20:10:00,DELIVERED,747.97,1.15,22.74,4554.69,PAYPAL,Leave at front door
ORD-8929143,997326,834b2b6c-7449-4591-b615-8143c37c74cd,4afd010f-656e-4e4f-b5ef-6b1feeb44373,2024-08-08,22:00:00,PROCESSING,3048.46,771.52,34.65,2501.27,CREDIT_CARD,Rush delivery requested
ORD-4659855,539722,e3ffc6c0-8561-4599-8333-7f42a178377c,644b5656-cf94-4dd5-8177-0ec10eb48d25,2023-03-02,14:45:00,PROCESSING,3891.82,17.21,38.14,1388.97,CREDIT_CARD,Rush delivery requested
ORD-9411301,638114,2cfa9548-a23c-4cab-a082-5f7b265dd7d3,24b6e4be-cb86-4b28-9f6d-6e8e1a863904,2023-07-02,18:30:00,DELIVERED,675.45,10.36,30.41,9905.07,DEBIT_CARD,Rush delivery requested
ORD-9475028,628750,0f1d324d-2330-4121-a331-d64cd042a7dd,46a367a7-e87a-42d7-bb6d-db6f11cb567b,2023-09-21,09:00:00,PROCESSING,5677.19,430.48,27.49,3933.21,PAYPAL,Rush delivery requested
ORD-7504457,780198,04280730-a7a8-45a1-9993-7eb27fb010a2,38701935-6036-4444-80dc-02d98bd340c0,2024-05-26,10:30:00,DELIVERED,7002.46,376.3,15.27,10539.66,APPLE_PAY,Rush delivery requested
ORD-7031960,321558,b4eaab9d-40c6-4a79-b054-8819509bca13,f5fdd375-29c4-46d0-a1ce-1a3234ae57d1,2024-01-02,10:30:00,PROCESSING,4414.22,383.68,30.36,9658.77,PAYPAL,Gift wrapping required
ORD-6077294,381811,1fc86af4-b0d2-4c76-b24f-9886596ce3ed,aba92418-336f-439c-821a-9ee346526750,2024-10-01,12:15:00,DELIVERED,1240.64,635.72,26.12,4340.08,PAYPAL,Special handling required
ORD-5362758,16761,a87ce9bf-771d-4bf0-bc47-ded6385a6941,79a7698d-1546-4a89-ac2f-bb29210fa142,2023-05-22,14:45:00,DELIVERED,6619.0,278.13,17.57,7129.16,DEBIT_CARD,Gift wrapping required
ORD-8264791,693465,04e954cd-664e-4c03-bf8e-2dc74c7bf49e,3f42c3c8-9ddf-49db-b212-851e16da633b,2023-03-03,09:00:00,SHIPPED,5997.29,517.7,24.01,877.98,CREDIT_CARD,Weekend delivery preferred
ORD-2578541,951013,a30fce64-3a6a-4682-941d-b6b87bd828ff,38a85056-4291-459f-937c-4518827c548e,2024-08-09,14:45:00,PROCESSING,4939.73,444.25,7.36,6545.28,CASH_ON_DELIVERY,Special handling required
ORD-1504589,415702,77fa90f3-dee0-4ad6-b346-4bd3e23e275f,eb5e7476-8c7c-4bdf-93ad-5d8e3653cc64,2023-09-10,09:00:00,SHIPPED,7429.51,313.52,7.8,1558.62,DEBIT_CARD,Weekend delivery preferred
ORD-1795721,41,469687e5-98b4-459e-92e3-92205e555411,be011366-2893-4586-b4c9-5c621e8952b0,2023-07-21,10:30:00,DELIVERED,3196.25,573.55,17.56,922.65,PAYPAL,Business delivery
ORD-1215401,403065,9ed5d8aa-5d7d-4ef8-b7d6-ac462977c295,9c5099b2-bf17-4a59-8280-2343a47c90da,2023-11-24,22:00:00,DELIVERED,8426.24,307.94,14.65,10806.79,CREDIT_CARD,Special handling required
ORD-8314720,493429,627064a0-5d90-41ed-94a3-0e650d970e61,17734156-aed5-4b90-8206-2e718501b834,2024-02-19,16:20:00,DELIVERED,8972.86,76.3,30.74,1137.75,CREDIT_CARD,Contact before delivery
ORD-6685102,649344,1cd54ff1-abb6-4e8a-a46c-a1cca0612f71,cc57fae5-d117-4f1e-889f-c9eb3ca49074,2023-03-16,20:10:00,DELIVERED,6700.86,397.51,30.49,8929.01,CREDIT_CARD,Weekend delivery preferred
ORD-1561770,384163,712f0f90-00fc-491e-8401-b2a1cde25e1f,6fdf11a3-3a81-4099-8497-0f82bc21bc22,2023-11-10,10:30:00,DELIVERED,4186.69,587.77,49.75,8876.05,APPLE_PAY,Special handling required
ORD-8837201,363093,72525882-585e-48ce-8c38-49916d8920a6,ffe2468a-fa14-40ad-afc2-625f4ba8bc5e,2023-07-11,22:00:00,DELIVERED,6144.58,606.57,40.38,9089.61,GOOGLE_PAY,Rush delivery requested
ORD-5430664,603658,50548cbf-90a4-4268-be4f-511dd38afe96,32097f5a-5c94-42cb-945c-32e5775f626a,2023-12-01,18:30:00,PROCESSING,5668.29,337.64,26.83,2471.04,PAYPAL,Gift wrapping required
ORD-2929156,474806,18090a51-3448-47bc-94a3-46717a57d7c7,9e03e175-c5f1-4315-8e32-6df7852fda02,2023-08-12,12:15:00,DELIVERED,3600.57,402.61,20.49,3344.38,CREDIT_CARD,Business delivery
ORD-6494322,455645,3c412338-0e6b-4b8c-ae07-8d89f6069f33,9eeca656-a59b-4f1a-98d9-1cf16f997d6c,2023-05-09,14:45:00,DELIVERED,8254.09,739.81,3.34,9483.44,DEBIT_CARD,Special handling required
