product_id,category_id,product_name,price,cost,sku,stock_quantity,reorder_level,supplier_id,weight_kg,dimensions,is_active,created_date
PROD-939326,5409169741876433765,Memory Foam Pillow,2757.15,1127.19,SKU-5112251,9924,29,SUP-5845,43.32,314x2x3cm,True,2022-09-04
PROD-500354,2673037064145903842,Air Purifier HEPA,2501.77,673.06,SKU-2998749,9407,70,SUP-3434,35.01,14x13x92cm,True,2024-09-09
PROD-869373,6514764693542110028,Standing Desk Converter,3597.31,223.87,SKU-3979686,7780,75,SUP-4632,9.94,0x333x090cm,False,2024-04-18
PROD-889075,9077895365547205396,Standing Desk Converter,22.06,1823.67,SKU-5271106,9663,48,SUP-5693,33.21,44x486x5cm,False,2023-07-02
PROD-880569,6010311351215522815,Fitness Tracker Watch,2391.56,307.27,SKU-2717225,1338,40,SUP-3670,37.16,9x856x66cm,True,2021-12-21
PROD-665878,3008523080004188470,Organic Cotton T-Shirt,1813.49,857.6,SKU-8618361,1879,20,SUP-4970,16.96,0x984x23cm,True,2021-06-03
PROD-916843,4168512508487856404,Coffee Machine Deluxe,810.52,960.52,SKU-1716461,6445,5,SUP-1408,36.15,5x71x3cm,False,2023-03-22
PROD-593294,5828357229829869756,Fitness Tracker Watch,4579.17,2170.7,SKU-2943624,6670,73,SUP-2820,19.28,160x85x9cm,False,2020-10-30
PROD-704052,7856963170946895328,Organic Cotton T-Shirt,852.66,559.34,SKU-8069284,1785,41,SUP-4922,17.99,1x2x482cm,False,2023-04-26
PROD-965231,1971436244705815158,Bluetooth Speaker,2619.86,1204.29,SKU-7353453,1471,54,SUP-9959,13.17,83x318x38cm,False,2023-11-04
PROD-933194,7357609037149644782,Coffee Machine Deluxe,2017.47,1189.58,SKU-3945177,7052,88,SUP-5374,1.14,290x3x08cm,False,2021-07-10
PROD-719763,8944253724758510366,Wireless Bluetooth Headphones,974.85,1091.87,SKU-4393296,4272,33,SUP-5463,22.68,6x76x62cm,False,2024-08-10
PROD-829010,7920774400492328034,Stainless Steel Water Bottle,4437.28,90.55,SKU-7941192,4621,13,SUP-4983,15.12,28x92x145cm,False,2021-10-27
PROD-430184,3279021280321492169,4K Ultra HD Smart TV,4002.98,172.75,SKU-2762542,4249,23,SUP-4094,3.83,115x52x37cm,False,2022-02-14
PROD-539389,2880941424163455742,Portable Phone Charger,2853.83,2011.91,SKU-7973982,5590,8,SUP-8674,14.92,743x697x5cm,True,2022-03-16
PROD-920683,6341019375179237820,Organic Cotton T-Shirt,317.31,969.14,SKU-8026358,6739,51,SUP-7472,10.04,44x0x344cm,True,2021-12-02
PROD-645168,8458467267462522928,Yoga Mat Premium,3948.24,2001.6,SKU-9820933,97,65,SUP-9403,12.08,708x731x964cm,False,2020-08-18
PROD-680781,6956823682119405385,Gaming Laptop Pro,2235.55,643.39,SKU-1697165,9309,53,SUP-5607,7.82,51x34x52cm,True,2024-04-28
PROD-210552,4842188322229703474,Gaming Laptop Pro,2539.08,1968.53,SKU-7897910,3620,73,SUP-1297,15.85,93x7x79cm,False,2024-07-29
PROD-859076,8229990772313868497,Fitness Tracker Watch,1810.21,2072.75,SKU-9830261,8550,85,SUP-2937,30.74,329x2x92cm,False,2020-03-27
PROD-248990,2417791925708491304,Coffee Machine Deluxe,1742.87,987.28,SKU-7466114,80,64,SUP-7231,13.33,9x17x3cm,True,2020-02-01
PROD-330846,2716344284423697156,Bluetooth Speaker,1746.03,562.44,SKU-8039660,1657,86,SUP-7886,35.25,2x46x3cm,True,2023-04-22
PROD-356838,929890168310387212,Coffee Machine Deluxe,2055.12,689.86,SKU-8746028,9755,42,SUP-6966,26.84,35x869x772cm,False,2020-11-18
PROD-653010,5552691082276297809,Stainless Steel Water Bottle,2816.18,2263.89,SKU-5524221,6620,38,SUP-1215,21.35,67x5x057cm,True,2023-12-21
PROD-733830,7092932672216739543,4K Ultra HD Smart TV,4599.96,2669.25,SKU-5347573,5994,20,SUP-3088,45.8,4x649x402cm,False,2020-10-15
PROD-917548,2085915438189735121,Air Purifier HEPA,3136.21,2834.26,SKU-2995550,4303,35,SUP-5797,3.32,85x897x7cm,True,2022-02-05
PROD-634816,5928016318531391567,Wireless Mouse Ergonomic,3530.64,538.52,SKU-1080874,4913,58,SUP-2743,12.46,987x64x98cm,True,2024-12-15
PROD-666046,5192069210100387486,Wireless Mouse Ergonomic,3050.44,987.32,SKU-2431919,3823,77,SUP-6110,30.38,34x64x579cm,False,2023-09-23
PROD-466973,8599724236733060268,Portable Phone Charger,3079.17,1276.79,SKU-8307528,9469,8,SUP-2440,14.58,459x558x5cm,True,2020-10-01
PROD-479805,975518980396209415,Wireless Bluetooth Headphones,4743.38,103.84,SKU-6710226,2908,17,SUP-2092,4.04,261x66x61cm,True,2020-09-28
PROD-268197,6315545092729961113,Standing Desk Converter,4016.69,1621.39,SKU-3047137,4577,95,SUP-7810,35.47,129x501x050cm,False,2022-01-28
PROD-354511,4122967101237141728,Wireless Mouse Ergonomic,1665.1,722.9,SKU-6043725,7587,28,SUP-7940,17.63,7x643x2cm,False,2023-11-25
PROD-134842,3532723396923639427,LED Desk Lamp,1350.36,1249.72,SKU-9058047,4006,29,SUP-7148,15.53,71x287x1cm,False,2020-08-07
PROD-348489,1749106508487690195,Stainless Steel Water Bottle,2057.39,1145.49,SKU-3811671,8709,16,SUP-4037,42.93,1x7x339cm,True,2022-09-28
PROD-363777,7597898886708256558,Wireless Mouse Ergonomic,1526.3,1420.59,SKU-5824288,6272,78,SUP-5588,34.68,864x594x717cm,False,2023-01-29
PROD-584937,6144212830659743952,Coffee Machine Deluxe,851.56,1459.82,SKU-7139743,503,6,SUP-3371,45.46,4x068x74cm,False,2020-10-20
PROD-147439,8766501577428682373,Air Purifier HEPA,1048.76,723.81,SKU-1233407,3712,54,SUP-3221,38.12,176x3x09cm,True,2023-10-28
PROD-908199,5771211612660738052,Bluetooth Speaker,3206.57,1149.52,SKU-8011064,1038,50,SUP-6447,43.7,03x97x5cm,False,2023-02-11
PROD-374716,4914823385414073457,Coffee Machine Deluxe,1316.48,475.74,SKU-5498892,3207,65,SUP-9196,12.39,8x109x27cm,False,2020-05-07
PROD-939488,5352481215029137118,Portable Phone Charger,19.72,286.83,SKU-2965696,2596,32,SUP-6864,0.76,757x9x40cm,True,2020-02-10
PROD-504970,1334630619638418399,Standing Desk Converter,586.93,1410.53,SKU-7234294,4161,34,SUP-1323,30.32,13x6x5cm,True,2022-06-01
PROD-177862,2209814790597105143,Fitness Tracker Watch,1919.72,2535.4,SKU-9174396,4875,43,SUP-2697,26.68,68x001x36cm,False,2022-10-27
PROD-853756,5746252584343440582,Wireless Bluetooth Headphones,3637.45,908.29,SKU-8683981,4006,85,SUP-2278,28.68,92x10x34cm,False,2021-02-10
PROD-560321,5921737554216793381,Memory Foam Pillow,1732.24,67.96,SKU-7900787,6847,26,SUP-9128,23.42,93x768x214cm,True,2022-01-08
PROD-694450,7239262210023423201,Air Purifier HEPA,4891.66,284.54,SKU-5503658,9180,77,SUP-5276,31.93,859x3x006cm,False,2023-12-29
PROD-710213,8352702148462402106,Organic Cotton T-Shirt,588.79,175.19,SKU-6783094,1561,37,SUP-9660,14.62,51x20x3cm,False,2021-01-26
PROD-431212,141990090106549804,4K Ultra HD Smart TV,1917.15,2307.4,SKU-6205914,2706,15,SUP-9654,47.64,05x27x7cm,False,2024-05-09
PROD-748661,5417002388395444927,Air Purifier HEPA,4910.29,2764.21,SKU-9269486,2899,37,SUP-6591,40.72,14x9x850cm,True,2020-11-29
PROD-964989,866205147142220922,Memory Foam Pillow,3916.92,741.0,SKU-5066515,1079,46,SUP-2383,26.36,56x886x63cm,False,2023-05-19
PROD-130501,1665168098052378707,Standing Desk Converter,2757.66,2682.18,SKU-1073489,9226,46,SUP-4094,12.43,860x39x169cm,False,2022-11-10
PROD-968107,2015576491261957127,Gaming Laptop Pro,692.1,1890.21,SKU-8648236,5719,57,SUP-6662,33.37,27x787x796cm,False,2023-05-03
PROD-184080,4745569946431524130,Wireless Mouse Ergonomic,4510.42,520.31,SKU-1638940,4075,39,SUP-2063,29.73,81x054x822cm,True,2020-09-08
PROD-183043,2755763506705924016,Air Purifier HEPA,3328.62,2353.49,SKU-5936749,5323,87,SUP-2816,34.92,729x859x12cm,True,2021-08-28
PROD-174875,7621375411366458240,Organic Cotton T-Shirt,3672.26,2614.82,SKU-2521982,9739,77,SUP-7640,13.6,96x8x15cm,True,2024-10-26
PROD-643555,8986185574831061155,Wireless Mouse Ergonomic,3168.83,694.83,SKU-6845265,2093,64,SUP-4080,19.67,54x3x3cm,True,2024-02-02
