category_id,category_name,description,is_active
9068757767688309691,Toys & Games,Car parts and automotive accessories,True
8488386081862958528,Home & Garden,Jewelry and fashion accessories,True
74276435135838611,Home & Garden,Baby and infant care products,True
8901209218867928387,Health & Beauty,Sports equipment and outdoor gear,False
8418162159362335638,Sports & Outdoors,Jewelry and fashion accessories,False
194833602067381748,Baby Products,Art supplies and craft materials,True
5136761063552856023,Health & Beauty,Musical instruments and audio equipment,False
7931820407565588425,Home & Garden,Electronic devices and accessories,False
7255881787273610669,Automotive,Home improvement and garden supplies,True
1788957760790728026,Baby Products,Toys and recreational games,False
5990184204643641482,Baby Products,Home improvement and garden supplies,True
5725950722697946239,Musical Instruments,Food products and beverages,True
1901325355134699022,Home & Garden,Baby and infant care products,True
7030391158476528706,Musical Instruments,Sports equipment and outdoor gear,False
4723342271750782059,Toys & Games,Toys and recreational games,True
5319980620508023314,Electronics,Office and business supplies,False
2978044444323781246,Pet Supplies,Art supplies and craft materials,True
2483953720601997870,Jewelry,Musical instruments and audio equipment,True
4670378352031807001,Food & Beverages,Food products and beverages,False
9020035693369879376,Jewelry,Jewelry and fashion accessories,True
4041015552150309635,Clothing & Apparel,Sports equipment and outdoor gear,False
7402908874622100471,Electronics,Baby and infant care products,False
6489183133121241899,Home & Garden,Baby and infant care products,False
3789734623176269313,Clothing & Apparel,Electronic devices and accessories,False
9112604261763765465,Clothing & Apparel,Jewelry and fashion accessories,True
5517247167283574452,Health & Beauty,Electronic devices and accessories,True
1004409301100518896,Arts & Crafts,Jewelry and fashion accessories,True
1000009650971282623,Health & Beauty,Home improvement and garden supplies,True
8316774019241057315,Food & Beverages,"Books, movies, and media content",True
6655203068953581778,Food & Beverages,Art supplies and craft materials,True
7024382439668224020,Baby Products,Home improvement and garden supplies,False
6826324029206556346,Arts & Crafts,Art supplies and craft materials,True
4474050337931725312,Food & Beverages,"Books, movies, and media content",False
7260597451016662472,Office Supplies,Sports equipment and outdoor gear,False
7259875711950155568,Health & Beauty,Food products and beverages,True
1053001201256068174,Electronics,Sports equipment and outdoor gear,True
2407193267524361226,Electronics,Jewelry and fashion accessories,True
2646874970941798887,Jewelry,Pet care and animal supplies,True
603627412771238708,Automotive,Art supplies and craft materials,False
2056873822795742572,Health & Beauty,Pet care and animal supplies,False
2970344265201701228,Office Supplies,Sports equipment and outdoor gear,True
9221669412713902505,Jewelry,Car parts and automotive accessories,True
6929030651413513992,Office Supplies,Food products and beverages,False
