order_id,customer_id,shipping_address_id,billing_address_id,order_date,order_time,status,subtotal,tax_amount,shipping_cost,total_amount,payment_method,notes
ORD-6577560,437821,479de54a-c439-44b1-8675-acb39a8911dd,99360257-abed-4a1d-b0e5-94786bb7950b,2023-08-23,10:30:00,PENDING,4301.23,37.76,5.69,9919.7,CREDIT_CARD,Fragile items
ORD-4802401,116177,2cabeb5c-aa66-48ff-a10b-056b35ad08b1,f7c8e362-e7c4-484d-928b-01d1763558b6,2024-11-29,10:30:00,DELIVERED,2402.4,12.57,49.74,619.17,CREDIT_CARD,Rush delivery requested
ORD-4411550,844564,9da6fba4-1548-4426-9f88-9c0fae90b57f,9a4dda76-3641-415a-a8a2-8b64e218f8e5,2023-02-21,22:00:00,DELIVERED,9332.23,331.88,45.84,9980.24,GOOGLE_PAY,Fragile items
ORD-9067624,486809,de0a5456-4812-4db9-83bd-2700a35c5bf4,704ba263-da45-40cb-a34a-4d8dd5c7501b,2024-05-18,16:20:00,DELIVERED,4914.56,307.69,5.12,1995.68,CREDIT_CARD,Contact before delivery
ORD-7417797,950823,ac9d02c9-bb32-4392-b4c9-4a5a04093f82,8913b923-d768-41b7-ad5f-5a3d8e23909b,2023-09-10,10:30:00,DELIVERED,9596.84,389.32,7.83,7666.85,CREDIT_CARD,Gift wrapping required
ORD-5412035,95230,9a5fe801-af31-400a-9fa9-0e68c1d4b985,3dc0b812-ece2-44b4-a1ac-373fce490579,2023-05-15,10:30:00,PROCESSING,1525.64,91.19,13.9,10236.21,DEBIT_CARD,Special handling required
ORD-7678919,611040,6a0066af-d69c-44e0-a55c-9faee1b6041e,900d7ef6-6a66-474b-b4e0-e733a7ba5d5f,2024-01-18,16:20:00,CANCELLED,9349.64,411.11,40.57,3453.04,CREDIT_CARD,Special handling required
ORD-3643624,667110,d4431445-7b89-4505-b226-697abb46a0fb,8b80075c-8885-4144-b095-c45869cb367e,2023-07-13,18:30:00,DELIVERED,6919.64,400.61,37.18,977.38,GOOGLE_PAY,Gift wrapping required
ORD-4690734,60741,c0ebf73d-27ae-4007-ac7d-6a24c79164d7,e235f122-0e1c-49f4-b5a1-7f5f0bf4c565,2023-12-04,14:45:00,SHIPPED,2934.4,284.22,42.18,3550.47,DEBIT_CARD,Rush delivery requested
ORD-3846286,879892,b3697f0a-7f01-4e58-8204-c56c20ae92f7,b5d10fa5-c347-45a5-a489-dee513492a52,2023-08-01,10:30:00,DELIVERED,6579.62,280.42,46.73,643.61,PAYPAL,Fragile items
ORD-6575598,616590,ee40db8a-3c08-4a4f-b7e2-fb36abc6ae84,2f9f86f5-c835-437f-85ec-861edb829b4b,2024-09-21,20:10:00,PROCESSING,1001.78,38.02,7.2,10522.94,PAYPAL,Leave at front door
ORD-9827882,480486,c2c8d0bb-3bc4-4e3c-9803-b6a3b48b062f,f3e4e672-1750-4339-b79a-2ae366db1343,2023-10-02,16:20:00,SHIPPED,4174.55,104.84,13.11,5681.59,CREDIT_CARD,Weekend delivery preferred
ORD-2013929,309770,5ccf0b3d-a01b-4ba3-b11d-c5c5cc4e3200,30b94642-8ac5-4cd2-8d91-f5099315e73d,2024-04-04,12:15:00,PENDING,1127.87,285.01,41.29,1404.71,DEBIT_CARD,Fragile items
ORD-3567507,133999,0f181bd0-48fb-42a1-b9f2-a332b795b8d7,d12a0bab-9a54-4058-86fc-ea29cd9d9051,2023-06-25,20:10:00,DELIVERED,508.13,418.08,19.97,5352.84,DEBIT_CARD,Leave at front door
ORD-4134771,254128,e7103a80-03fa-4c45-8f4b-496db342285c,bbeb7b48-a8b0-45df-bdbe-38d06a926ea9,2024-03-14,20:10:00,DELIVERED,5447.06,127.55,28.88,9628.37,APPLE_PAY,Special handling required
ORD-5106170,81042,3ec1493d-d63a-4c14-bdad-bec1de05c1a2,815a2636-5ed6-45fa-94c2-57ee70171324,2024-10-16,16:20:00,CONFIRMED,4223.34,529.36,43.4,1857.38,DEBIT_CARD,Special handling required
ORD-3864595,811779,6d0c25bc-08ae-4d72-8978-91b947d1275e,c659adc5-3489-4c45-a18a-87e65b7dec0f,2023-09-03,10:30:00,PENDING,8582.22,659.76,13.5,4798.98,CREDIT_CARD,Fragile items
