product_id,category_id,product_name,price,cost,sku,stock_quantity,reorder_level,supplier_id,weight_kg,dimensions,is_active,created_date
PROD-970530,70312798,Gaming Laptop Pro,105.61,2935.45,SKU-8854294,9774,51,SUP-9331,46.82,Interest threat still paper region ability.,True,2022-01-03
PROD-423069,4706697,Standing Desk Converter,2558.94,1748.2,SKU-9144852,4678,57,SUP-8585,48.99,Open first certainly animal rock fear time.,False,2024-01-12
PROD-511702,18306008,Bluetooth Speaker,1001.11,512.51,SKU-3254093,4017,9,SUP-6306,39.8,Conference could couple instead pick break effect only.,False,2023-05-26
PROD-216796,87833531,Wireless Bluetooth Headphones,3689.66,459.6,SKU-2170651,9835,34,SUP-1207,2.49,Reason scientist pass wear act.,True,2021-01-16
PROD-221139,82523329,4K Ultra HD Smart TV,2433.16,1795.72,SKU-7918378,6536,68,SUP-6478,15.69,Various simply job green never purpose.,False,2023-07-13
PROD-965331,74187247,4K Ultra HD Smart TV,1587.26,1221.43,SKU-8847009,8708,54,SUP-9774,45.48,Account have every environmental blood.,True,2023-11-13
PROD-891286,75963876,LED Desk Lamp,178.44,2456.13,SKU-6217344,746,62,SUP-3703,48.23,Marriage entire standard resource long close fish.,False,2021-11-26
PROD-727868,54457296,Air Purifier HEPA,1703.5,177.94,SKU-1263021,6962,20,SUP-5025,4.46,Performance road walk animal main.,True,2020-04-26
PROD-758599,76972978,Standing Desk Converter,4724.68,2080.7,SKU-2148189,1113,16,SUP-9195,35.44,International white seek though which per.,True,2023-11-28
PROD-266938,83240187,Stainless Steel Water Bottle,1351.37,1782.16,SKU-4924940,864,51,SUP-8545,14.08,Success out final.,True,2021-05-23
PROD-681977,188021,Yoga Mat Premium,593.63,1629.95,SKU-1853208,2283,16,SUP-8071,29.1,Once dark strong just reality trip.,True,2024-10-20
PROD-872225,38270724,Wireless Mouse Ergonomic,3618.29,689.92,SKU-3083788,1761,70,SUP-1424,18.73,Indeed thank maintain bring yes.,True,2020-06-27
PROD-148406,86789713,Wireless Bluetooth Headphones,4086.55,1118.81,SKU-3111221,2677,27,SUP-4932,10.03,Political even computer space always movement mother.,False,2022-12-26
PROD-991593,54684176,Yoga Mat Premium,3506.78,1471.64,SKU-5134343,2940,48,SUP-4354,37.57,Table admit easy test.,True,2022-07-21
PROD-504889,22115753,Fitness Tracker Watch,3442.32,2046.84,SKU-9894432,1357,22,SUP-1184,10.48,Development pick across officer.,False,2024-12-22
PROD-953235,28802907,Memory Foam Pillow,1795.81,372.84,SKU-6997466,5550,42,SUP-3910,3.43,Son action student movie prevent memory.,False,2023-01-21
PROD-436892,43600508,Bluetooth Speaker,666.72,150.26,SKU-9969846,865,90,SUP-6505,18.66,International store all.,True,2024-06-28
PROD-336488,41175365,Memory Foam Pillow,724.56,704.56,SKU-8690779,4336,68,SUP-3152,16.24,Pick eye treatment all.,True,2022-07-03
PROD-768947,18302262,Bluetooth Speaker,2777.91,146.81,SKU-1634209,1360,91,SUP-7246,46.1,Teacher sell magazine close.,False,2020-02-18
PROD-649594,8828025,Memory Foam Pillow,1141.51,2182.86,SKU-8772644,302,34,SUP-2852,49.55,American before program under pattern market country.,False,2020-10-03
PROD-818175,56204083,4K Ultra HD Smart TV,2328.93,1107.66,SKU-2037801,4159,36,SUP-4939,6.0,Bill maybe positive same.,False,2024-11-17
PROD-841654,5424453,Stainless Steel Water Bottle,4052.09,2101.71,SKU-6180842,2662,62,SUP-1057,32.74,Serious rate performance these many sense nature member.,True,2024-09-08
PROD-800196,15981153,Bluetooth Speaker,1177.24,605.53,SKU-6776857,3003,51,SUP-7448,25.39,Ground site talk standard fear.,False,2023-03-27
PROD-742421,82396589,Air Purifier HEPA,445.09,606.18,SKU-6601617,901,8,SUP-9376,21.97,If son among mention almost side green defense.,False,2022-06-14
PROD-813350,92776355,Air Purifier HEPA,2495.63,2212.71,SKU-6207832,1199,72,SUP-3651,43.09,With according sell final table big.,False,2021-01-15
PROD-785386,58720070,Yoga Mat Premium,4822.39,2704.66,SKU-9165985,2273,39,SUP-6006,4.14,Attorney movement then we this administration quite.,False,2022-06-21
PROD-690860,82238048,Gaming Laptop Pro,4181.12,2988.05,SKU-9164046,436,98,SUP-4590,0.56,Customer find price development.,False,2024-03-23
