line_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total
LI-26232885,ORD-5540221,PROD-732313,9,2401.58,15.14,9815.45
LI-60086201,ORD-7332599,PROD-970390,9,1981.77,395.2,9755.99
LI-58160648,ORD-2421881,PROD-997537,10,3838.59,44.05,6530.44
LI-42389763,ORD-4096231,PROD-614385,9,691.97,452.63,7895.24
LI-94546791,ORD-2915769,PROD-124427,4,1245.1,122.4,36038.39
LI-14779048,ORD-4946214,PROD-990588,4,127.37,152.56,35914.23
LI-74408398,ORD-3033090,PROD-612885,4,1605.21,13.75,44747.98
LI-16733352,ORD-9140614,PROD-159164,1,869.35,398.42,1491.65
LI-36558023,ORD-6428223,PROD-324206,3,2099.15,371.91,33429.89
LI-79643332,ORD-5011182,PROD-225907,4,323.5,351.64,16078.94
LI-64681714,ORD-7819185,PROD-772849,4,842.94,190.56,39797.62
LI-73791452,ORD-5219788,PROD-360603,10,2365.55,226.77,25578.44
LI-71005972,ORD-6031287,PROD-119821,4,4154.51,76.94,30729.81
LI-66937478,ORD-8845639,PROD-965672,7,281.19,388.22,14608.35
LI-56631690,ORD-4697027,PROD-612255,6,346.4,71.46,39727.3
LI-30439052,ORD-6128395,PROD-642262,8,1444.94,225.15,14933.54
LI-52445651,ORD-5197916,PROD-243276,3,3877.85,368.64,30335.14
LI-69691992,ORD-2462138,PROD-822330,4,3139.03,25.67,8517.06
LI-43834236,ORD-6894236,PROD-437216,6,4194.86,463.67,39247.85
LI-74713233,ORD-4013614,PROD-879854,7,2285.94,165.54,8690.62
LI-63777261,ORD-4131051,PROD-341347,7,856.47,493.18,37786.09
LI-26415890,ORD-7872692,PROD-819738,9,3561.81,104.06,45950.86
LI-96892698,ORD-7575375,PROD-914906,10,2346.3,372.75,228.28
LI-13270162,ORD-6076965,PROD-617935,6,3891.35,437.63,7290.28
LI-69897290,ORD-4140722,PROD-557262,4,4200.15,218.86,47946.85
LI-51414313,ORD-1886566,PROD-670870,7,1553.37,82.62,24656.68
LI-74674201,ORD-4040676,PROD-193718,9,4413.61,408.27,35110.86
LI-16494629,ORD-3571577,PROD-367879,4,744.71,257.33,33071.06
LI-81049083,ORD-3915065,PROD-228720,6,4090.04,339.87,7489.69
LI-65943335,ORD-4639124,PROD-565089,6,4448.63,401.05,10651.59
LI-88554500,ORD-8672217,PROD-831086,5,4915.13,295.76,43282.72
