category_id,category_name,description,is_active
7997734434478872005,Baby Products,Musical instruments and audio equipment,False
7898371481896000260,Automotive,Pet care and animal supplies,False
3010680431449029356,Pet Supplies,Pet care and animal supplies,True
8445954739240933256,Toys & Games,"Health, beauty, and personal care",False
2937794595002030855,Clothing & Apparel,Art supplies and craft materials,False
7995234465641162931,Baby Products,Electronic devices and accessories,True
7990875409167192973,Books & Media,Toys and recreational games,True
7953508814654957682,Home & Garden,Toys and recreational games,False
5086372577121479300,Pet Supplies,Electronic devices and accessories,False
7860773437991227626,Toys & Games,Electronic devices and accessories,False
1587497338552829583,Jewelry,Fashion and clothing items,False
271911893383793180,Jewelry,Electronic devices and accessories,False
7436278509407220721,Toys & Games,Musical instruments and audio equipment,True
84527515301584513,Health & Beauty,"Health, beauty, and personal care",False
9169235091377832186,Books & Media,Office and business supplies,False
6821528721408382946,Books & Media,Electronic devices and accessories,True
9212927022899293588,Jewelry,Office and business supplies,True
1251646507896783322,Electronics,Food products and beverages,False
424580617135378497,Musical Instruments,Sports equipment and outdoor gear,True
6691754895423790288,Automotive,Sports equipment and outdoor gear,False
2411987687239881894,Automotive,Musical instruments and audio equipment,True
1980158839970894331,Electronics,Fashion and clothing items,False
1211807748410880195,Electronics,Electronic devices and accessories,False
6100243973508056140,Health & Beauty,Home improvement and garden supplies,False
6108442324714793109,Toys & Games,Food products and beverages,False
1339252603859820011,Automotive,Baby and infant care products,False
8807946140228358806,Office Supplies,Jewelry and fashion accessories,True
7478586971781915023,Clothing & Apparel,Pet care and animal supplies,False
7063097627933046699,Office Supplies,"Health, beauty, and personal care",True
6842927936918021395,Jewelry,Pet care and animal supplies,False
582425288111527039,Clothing & Apparel,Office and business supplies,True
7687028710980494653,Home & Garden,Food products and beverages,True
387831171295561026,Books & Media,Jewelry and fashion accessories,False
2226318053799425144,Food & Beverages,Sports equipment and outdoor gear,False
7847069640207503569,Toys & Games,Food products and beverages,True
3250801573510911783,Arts & Crafts,Baby and infant care products,False
753944165295738276,Home & Garden,Art supplies and craft materials,False
397580665683611884,Office Supplies,Sports equipment and outdoor gear,True
7955608120722668611,Musical Instruments,Jewelry and fashion accessories,False
7645740857624328714,Sports & Outdoors,Car parts and automotive accessories,True
4381577185589015864,Arts & Crafts,Musical instruments and audio equipment,True
9012949235735140251,Food & Beverages,Pet care and animal supplies,True
1570422794411464016,Home & Garden,Art supplies and craft materials,True
7103446703562027820,Automotive,Pet care and animal supplies,False
5578030381921191782,Office Supplies,Electronic devices and accessories,False
8134076710848685812,Office Supplies,Baby and infant care products,True
4519867789299424695,Jewelry,Musical instruments and audio equipment,False
8097262046741513377,Electronics,Musical instruments and audio equipment,False
6592731784062943695,Books & Media,Toys and recreational games,True
1988566267614877980,Arts & Crafts,Musical instruments and audio equipment,False
6745868478484615476,Jewelry,Office and business supplies,False
4044201717081278048,Pet Supplies,"Books, movies, and media content",False
657399195266818949,Electronics,Fashion and clothing items,False
2802947505809586237,Food & Beverages,Musical instruments and audio equipment,True
1279526738811415450,Pet Supplies,Pet care and animal supplies,True
8927589702161585564,Electronics,Baby and infant care products,False
400536950090090009,Office Supplies,Home improvement and garden supplies,False
5866412010374997810,Toys & Games,Electronic devices and accessories,True
311305750823058235,Pet Supplies,Car parts and automotive accessories,True
299154721180378653,Arts & Crafts,Baby and infant care products,False
208098565898126199,Pet Supplies,Toys and recreational games,True
5644458499785242429,Food & Beverages,Pet care and animal supplies,False
6069366322561837792,Arts & Crafts,Musical instruments and audio equipment,False
6940665637538461426,Arts & Crafts,Office and business supplies,True
6651053025743897030,Sports & Outdoors,Office and business supplies,True
8758913323336521168,Jewelry,Pet care and animal supplies,False
1397480810132957679,Pet Supplies,Pet care and animal supplies,False
392512358129837755,Clothing & Apparel,Electronic devices and accessories,False
3883092727504209440,Health & Beauty,Art supplies and craft materials,False
8867482602020708705,Office Supplies,Musical instruments and audio equipment,False
630408707099280674,Automotive,Baby and infant care products,True
7725089804173774295,Pet Supplies,Electronic devices and accessories,True
6660309345257379254,Toys & Games,Office and business supplies,True
4272951363966382452,Clothing & Apparel,Jewelry and fashion accessories,False
2416429262952697942,Automotive,Fashion and clothing items,False
460050041756234233,Sports & Outdoors,Food products and beverages,False
1309090596888672494,Office Supplies,Fashion and clothing items,True
4765023465541364846,Automotive,Pet care and animal supplies,False
6635171738955626396,Arts & Crafts,Art supplies and craft materials,False
1005573094476111430,Baby Products,Sports equipment and outdoor gear,False
8434709098924117380,Jewelry,Food products and beverages,True
1110978483669635279,Toys & Games,"Health, beauty, and personal care",False
8088375721544925891,Health & Beauty,Electronic devices and accessories,True
4317422215582282023,Health & Beauty,Jewelry and fashion accessories,False
7786344743159635510,Baby Products,Baby and infant care products,True
213242519677789757,Baby Products,Jewelry and fashion accessories,False
7396669427207120819,Books & Media,Fashion and clothing items,True
4202275979047410392,Arts & Crafts,Baby and infant care products,False
4359661828675115037,Office Supplies,"Books, movies, and media content",True
6813457709841557147,Health & Beauty,Pet care and animal supplies,False
8574418067827928653,Toys & Games,Baby and infant care products,False
9086199597667507155,Automotive,Pet care and animal supplies,True
108663768472840467,Arts & Crafts,Pet care and animal supplies,True
1732672736755845415,Arts & Crafts,Car parts and automotive accessories,True
943316839869649015,Clothing & Apparel,"Health, beauty, and personal care",False
8070792327273164721,Electronics,"Health, beauty, and personal care",True
2056624330129098466,Pet Supplies,Baby and infant care products,False
1631938221972733928,Electronics,Home improvement and garden supplies,True
1511648953797918460,Food & Beverages,Baby and infant care products,True
1429878042765626781,Musical Instruments,Food products and beverages,True
5742272433980909718,Arts & Crafts,Baby and infant care products,True
6536068037307901593,Health & Beauty,Art supplies and craft materials,False
6325613123430005547,Arts & Crafts,Jewelry and fashion accessories,True
8641607697201419818,Pet Supplies,Toys and recreational games,True
5562894160843220046,Home & Garden,"Books, movies, and media content",False
