order_id,customer_id,shipping_address_id,billing_address_id,order_date,order_time,status,subtotal,tax_amount,shipping_cost,total_amount,payment_method,notes
ORD-6112828,511556,1ba43ffd-82e5-4fc7-9792-d8cad10b47d4,39c5143b-df0a-4aff-b8c0-ee07fd57ed34,2023-11-28,10:30:00,DELIVERED,2806.14,512.06,20.73,5988.33,CREDIT_CARD,Fragile items
ORD-4321420,882977,e41f96e0-6a09-4bf9-a1c4-fafdd8a1c76f,292ddcdb-7f21-4f25-9192-0faa1a901e93,2023-07-17,16:20:00,DELIVERED,3969.64,575.8,11.26,5081.13,DEBIT_CARD,Weekend delivery preferred
ORD-4301386,866575,02d6ebf9-919e-4ee9-9a31-167d751dfb31,486daf5b-38ec-4456-bc89-12e6762ba62c,2024-03-04,16:20:00,SHIPPED,5619.43,277.01,43.58,2998.76,DEBIT_CARD,Rush delivery requested
ORD-4355192,843363,e825ed4d-1956-4bc5-b0f6-137d68d66fc0,331ef04e-7348-4008-a561-11b54fbc8aff,2023-03-30,09:00:00,SHIPPED,2919.31,397.87,34.44,3028.45,PAYPAL,Fragile items
ORD-8545217,117489,e0fcaca9-4c76-4c9a-a3f0-6fdaa70ec372,4979c3db-c9ec-40b7-a32c-aa171eac2692,2024-06-05,16:20:00,DELIVERED,4628.31,29.43,23.14,5716.63,DEBIT_CARD,Special handling required
ORD-6956725,650775,01e97e61-7530-4d6f-b9b4-7c87cf61164c,48774366-09f6-44cb-ba56-0f995f0db06e,2023-07-04,18:30:00,DELIVERED,9308.46,401.59,8.28,9158.76,CREDIT_CARD,Business delivery
ORD-2034825,240534,43a1ef72-91db-4ba3-93d5-310b76b92312,6796fd7a-530b-467c-98e3-43007be4bce1,2024-12-09,10:30:00,PENDING,5402.63,389.07,36.63,9987.48,DEBIT_CARD,Fragile items
ORD-1158720,908565,83366980-125f-4e44-965f-a12e9ed36e07,92b21e5a-0127-4ce2-9af6-8fd94d446460,2023-11-04,10:30:00,DELIVERED,2988.24,26.86,40.27,7406.67,DEBIT_CARD,Special handling required
ORD-7313285,79263,e9c1e765-b222-45ab-bbca-70950d2d6fce,f049e00a-1537-4b77-ba76-99e75266c557,2023-09-26,14:45:00,PENDING,5233.5,698.57,13.56,9703.37,BANK_TRANSFER,Rush delivery requested
ORD-7947617,859766,c9205c0d-64f9-4077-baba-ca732baf32e2,ab580a60-f6d8-4122-b23a-bb1adb17b922,2024-10-08,18:30:00,DELIVERED,5006.93,697.0,39.52,9237.08,PAYPAL,Business delivery
ORD-6552326,524333,bc1e62a9-5963-43df-b2ef-b259d7ea6e5a,9de35f64-44e0-4a63-a93d-9affa077fa3c,2023-11-16,22:00:00,DELIVERED,4039.24,489.79,36.08,3113.61,CREDIT_CARD,Contact before delivery
ORD-7175566,405885,6febb476-25be-41cb-8023-c9ca273d6343,f217d567-a9af-439d-9f7b-4ae7d15805a8,2024-09-28,14:45:00,PENDING,7691.21,731.41,42.32,2696.82,DEBIT_CARD,Weekend delivery preferred
