category_id,category_name,description,is_active
5670399474483400377,Pet Supplies,Pet care and animal supplies,False
8404525246018610036,Office Supplies,Toys and recreational games,True
3505216578133892687,Arts & Crafts,Pet care and animal supplies,True
7869154323178655048,Electronics,Baby and infant care products,False
2775275528652095439,Books & Media,Car parts and automotive accessories,True
8124858375484849602,Jewelry,Electronic devices and accessories,False
5580446955610577150,Food & Beverages,Jewelry and fashion accessories,False
7117712767802012948,Books & Media,Jewelry and fashion accessories,False
1445520799462571449,Food & Beverages,Jewelry and fashion accessories,False
2216284363790485415,Food & Beverages,Pet care and animal supplies,True
9004649096275035089,Toys & Games,Musical instruments and audio equipment,True
7514095101938776882,Baby Products,Pet care and animal supplies,True
1370124720665240496,Arts & Crafts,Musical instruments and audio equipment,False
8087333522003057006,Toys & Games,Fashion and clothing items,False
2438634760100996894,Home & Garden,Pet care and animal supplies,True
3365831791911003973,Arts & Crafts,Jewelry and fashion accessories,False
3543711248747650459,Office Supplies,Jewelry and fashion accessories,True
3681077544439853120,Books & Media,Office and business supplies,False
7182319739845953828,Health & Beauty,Electronic devices and accessories,True
8088632647522509993,Home & Garden,Jewelry and fashion accessories,True
4551099192197315427,Baby Products,"Books, movies, and media content",True
2177357556504879684,Pet Supplies,Office and business supplies,True
1035220631848794034,Clothing & Apparel,Musical instruments and audio equipment,True
6273718304187299010,Electronics,Food products and beverages,False
117313314044542773,Office Supplies,"Health, beauty, and personal care",False
4064550436749227782,Health & Beauty,Car parts and automotive accessories,True
3574902918687054282,Arts & Crafts,Musical instruments and audio equipment,False
2811344072942063596,Sports & Outdoors,Pet care and animal supplies,True
6225866316427995205,Musical Instruments,Electronic devices and accessories,True
705839961441751303,Musical Instruments,Jewelry and fashion accessories,False
8415432827177857468,Jewelry,Food products and beverages,True
8398049493776182740,Home & Garden,Fashion and clothing items,False
1507787770920471625,Food & Beverages,Car parts and automotive accessories,True
4403000223170510674,Health & Beauty,Pet care and animal supplies,False
1976493161337914476,Home & Garden,Car parts and automotive accessories,True
7075009512806830244,Toys & Games,Office and business supplies,True
190259946673222246,Musical Instruments,Office and business supplies,False
5787062235019408156,Food & Beverages,Car parts and automotive accessories,True
426321905248116000,Baby Products,Food products and beverages,True
51824588988757752,Baby Products,Home improvement and garden supplies,True
3206720103696479603,Automotive,Baby and infant care products,True
739127349040196026,Food & Beverages,Jewelry and fashion accessories,True
