category_id,category_name,description,is_active
3703872307973656682,Books & Media,Pet care and animal supplies,False
7606947162591007192,Sports & Outdoors,Baby and infant care products,True
5423829404160769762,Jewelry,Toys and recreational games,True
2628085444459340530,Sports & Outdoors,Baby and infant care products,False
877798054103918753,Musical Instruments,Musical instruments and audio equipment,False
2684022068388943529,Health & Beauty,Jewelry and fashion accessories,True
8185066960859564011,Toys & Games,Baby and infant care products,False
7636925283203260769,Baby Products,Office and business supplies,True
4762495056857089693,Jewelry,Fashion and clothing items,False
8349725386772028872,Baby Products,Musical instruments and audio equipment,True
6792003636367172334,Baby Products,Toys and recreational games,True
7870190549054858941,Home & Garden,Car parts and automotive accessories,True
2193720204335952942,Food & Beverages,Pet care and animal supplies,False
4536954483696716928,Automotive,Musical instruments and audio equipment,False
3860370349098281457,Home & Garden,Fashion and clothing items,False
4236424903089694006,Clothing & Apparel,Jewelry and fashion accessories,True
1477493440591806762,Books & Media,Home improvement and garden supplies,True
2826567449822742526,Toys & Games,Musical instruments and audio equipment,True
1741764568119764488,Pet Supplies,Office and business supplies,True
8597386319329745333,Clothing & Apparel,"Books, movies, and media content",True
1049081743701360102,Books & Media,Home improvement and garden supplies,False
5165121820069107682,Clothing & Apparel,"Health, beauty, and personal care",False
5560435872732822622,Electronics,Art supplies and craft materials,True
5697274710099270283,Baby Products,Sports equipment and outdoor gear,True
563184818880127074,Sports & Outdoors,Fashion and clothing items,False
4879222597307473516,Arts & Crafts,Musical instruments and audio equipment,False
3022441396652978761,Home & Garden,Art supplies and craft materials,False
7070624752141631290,Automotive,Sports equipment and outdoor gear,False
6477248865094876971,Baby Products,Art supplies and craft materials,True
7061796486659750088,Automotive,Baby and infant care products,True
2810870339516960637,Toys & Games,Baby and infant care products,True
8471078804717983674,Books & Media,Baby and infant care products,True
2323314562579372124,Arts & Crafts,Art supplies and craft materials,False
860769465427311258,Clothing & Apparel,Jewelry and fashion accessories,False
1130590025100241375,Musical Instruments,Sports equipment and outdoor gear,False
6195335901494782326,Sports & Outdoors,"Health, beauty, and personal care",True
5165811025219278938,Health & Beauty,Home improvement and garden supplies,True
7429181961047433835,Sports & Outdoors,Jewelry and fashion accessories,False
