product_id,category_id,product_name,price,cost,sku,stock_quantity,reorder_level,supplier_id,weight_kg,dimensions,is_active,created_date
PROD-776730,30402790025118930,Portable Phone Charger,3884.86,630.08,SKU-2336682,4266,96,SUP-2271,7.79,62x399x108cm,True,2024-05-03
PROD-912143,699956480341802840,Fitness Tracker Watch,1519.94,2684.31,SKU-8020122,6625,12,SUP-9649,33.22,01x976x140cm,True,2024-02-20
PROD-301311,7970418167956081225,Coffee Machine Deluxe,3253.6,1685.56,SKU-3830265,3063,66,SUP-1728,49.96,4x7x591cm,False,2022-06-10
PROD-721503,1131613582881549525,Wireless Mouse Ergonomic,369.0,1775.34,SKU-6029822,9007,55,SUP-1765,47.57,985x0x6cm,False,2021-01-25
PROD-319744,4337030461878511296,Wireless Bluetooth Headphones,4303.76,1542.71,SKU-9424751,9528,100,SUP-3763,29.25,212x439x5cm,True,2023-02-12
PROD-177681,7990973884149166628,LED Desk Lamp,3261.23,1378.23,SKU-2029931,6323,71,SUP-8936,28.33,687x51x1cm,False,2022-05-21
PROD-100373,6523053448670637632,Memory Foam Pillow,3679.18,1242.87,SKU-5670684,801,10,SUP-8827,43.8,5x67x1cm,True,2023-01-17
PROD-414196,1033646943299778009,Wireless Mouse Ergonomic,4143.74,557.32,SKU-6022719,9713,98,SUP-7296,49.85,21x89x63cm,True,2020-06-26
PROD-623137,1131613582881549525,Portable Phone Charger,3089.44,1317.95,SKU-9456384,594,14,SUP-7131,7.33,31x27x280cm,False,2022-09-11
PROD-192996,5198359342177526508,Coffee Machine Deluxe,1989.57,2846.55,SKU-4947465,7108,97,SUP-4251,14.18,036x999x684cm,True,2020-12-17
PROD-718966,1343005357172205098,Memory Foam Pillow,3740.72,2030.91,SKU-4571884,8784,76,SUP-2657,24.44,226x7x14cm,True,2021-02-01
PROD-846430,5045645482436506270,Yoga Mat Premium,622.59,915.71,SKU-7941367,5995,15,SUP-9025,34.99,067x02x12cm,False,2020-07-26
PROD-502870,7641027875153458328,Bluetooth Speaker,3971.3,1560.17,SKU-6103538,7677,52,SUP-8650,31.31,780x3x17cm,True,2021-12-28
PROD-598540,7772407576665462898,Yoga Mat Premium,3491.1,995.16,SKU-5021545,2902,86,SUP-9748,28.13,2x67x43cm,True,2020-11-30
PROD-304526,3556124006297507119,Yoga Mat Premium,4041.09,614.65,SKU-5335371,1262,37,SUP-3611,38.73,661x40x6cm,True,2023-06-05
PROD-433329,158416607381121520,Portable Phone Charger,4177.65,1950.54,SKU-5431023,1086,16,SUP-5515,41.85,226x540x72cm,False,2024-03-28
