product_id,category_id,product_name,price,cost,sku,stock_quantity,reorder_level,supplier_id,weight_kg,dimensions,is_active,created_date
PROD-298399,8725603964206859834,Fitness Tracker Watch,4851.91,1647.39,SKU-4693246,3506,93,SUP-6297,33.6,408x8x560cm,True,2021-10-04
PROD-732269,2147901486254787287,Organic Cotton T-Shirt,538.1,1960.88,SKU-3652939,8560,48,SUP-1750,38.06,099x90x134cm,True,2022-08-07
PROD-863055,7686929576024915146,Yoga Mat Premium,2466.81,440.04,SKU-6520219,3816,14,SUP-3515,22.04,2x51x07cm,True,2021-05-27
PROD-655592,7880996229218263516,Wireless Mouse Ergonomic,4658.61,1100.96,SKU-5616132,1821,6,SUP-9393,7.13,332x9x052cm,True,2021-12-15
PROD-726215,3768760576903173833,Fitness Tracker Watch,2219.18,495.85,SKU-4076634,2601,6,SUP-7955,1.53,7x5x903cm,False,2022-01-23
PROD-944600,8049225439635186163,Air Purifier HEPA,1004.49,1712.44,SKU-6530582,1655,65,SUP-7566,37.43,9x59x7cm,True,2020-02-14
PROD-620183,7473444937032553215,4K Ultra HD Smart TV,1077.78,1914.37,SKU-9553966,5496,66,SUP-2944,38.27,76x1x56cm,False,2020-11-24
PROD-803016,2349569970462952515,LED Desk Lamp,3521.98,2191.99,SKU-2328132,8572,51,SUP-2509,23.97,13x7x4cm,True,2022-04-22
PROD-238305,7503883948793622747,Portable Phone Charger,2134.42,222.37,SKU-9314156,8455,63,SUP-5366,42.34,6x590x69cm,False,2023-04-03
PROD-616058,2436009834695192976,Yoga Mat Premium,3768.5,1305.44,SKU-3377434,7640,36,SUP-5351,16.99,11x5x6cm,True,2020-08-04
PROD-566804,5017201604680472087,Wireless Bluetooth Headphones,2519.24,2047.84,SKU-9732959,9534,57,SUP-4811,21.53,4x763x710cm,False,2023-02-04
PROD-545911,3342235294704033308,4K Ultra HD Smart TV,3341.33,2479.59,SKU-5281486,1191,28,SUP-4084,38.39,65x5x5cm,True,2024-08-28
