category_id,category_name,description,is_active
1415759004081642583,Home & Garden,Musical instruments and audio equipment,True
6049332301931448323,Office Supplies,Baby and infant care products,False
2720471579110593071,Arts & Crafts,Pet care and animal supplies,True
2929460898768117696,Arts & Crafts,Food products and beverages,False
3406653388462027980,Arts & Crafts,Pet care and animal supplies,True
3864149227888795345,Pet Supplies,Musical instruments and audio equipment,True
4896742251630416545,Clothing & Apparel,Pet care and animal supplies,True
791474995918487315,Musical Instruments,Food products and beverages,False
5248478042791863752,Automotive,Food products and beverages,True
1050150089390475956,Pet Supplies,Office and business supplies,True
1543915003850852762,Office Supplies,Art supplies and craft materials,True
4900999832497810437,Jewelry,Art supplies and craft materials,True
2756538728021669728,Health & Beauty,Musical instruments and audio equipment,False
1577067296939387872,Musical Instruments,Art supplies and craft materials,False
4234922306819202086,Food & Beverages,Jewelry and fashion accessories,False
3489506883924879598,Musical Instruments,Musical instruments and audio equipment,False
6948631068558654308,Jewelry,Art supplies and craft materials,True
5006838024032141949,Books & Media,Electronic devices and accessories,True
3400279316575967050,Automotive,Baby and infant care products,True
1159512294187561168,Health & Beauty,Electronic devices and accessories,True
6051042717493144467,Health & Beauty,Pet care and animal supplies,True
6813185691361707129,Toys & Games,Art supplies and craft materials,False
1363838736414607544,Sports & Outdoors,Toys and recreational games,False
4381756728975707133,Arts & Crafts,Electronic devices and accessories,True
4624729322673148788,Electronics,Home improvement and garden supplies,True
2871496005487291160,Office Supplies,Jewelry and fashion accessories,True
6312591507068434468,Musical Instruments,"Health, beauty, and personal care",True
4656462663602686738,Baby Products,Pet care and animal supplies,False
7026090399317134604,Musical Instruments,Art supplies and craft materials,False
4945734481487456354,Food & Beverages,Pet care and animal supplies,True
2646036348810815335,Home & Garden,Art supplies and craft materials,False
585025473353201481,Toys & Games,Sports equipment and outdoor gear,False
7192701632230199945,Musical Instruments,Sports equipment and outdoor gear,True
2071744946087667775,Office Supplies,Jewelry and fashion accessories,False
5601777275414277437,Jewelry,Art supplies and craft materials,True
